# este archivo son los resultado de los trials del modelo B de optuna 

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
144,0.5527174757052284,2026-07-23 20:39:49.106445,2026-07-23 20:39:50.859084,0 days 00:00:01.752639,0.7674685152297879,0.01431456785251906,8,295,3.3836244474629567,0.6138300516369172,COMPLETE
145,0.5482442957299201,2026-07-23 20:39:50.860512,2026-07-23 20:39:52.966760,0 days 00:00:02.106248,0.7826990876818889,0.012504604664891804,8,252,3.1236135801370177,0.6485029353767786,COMPLETE
146,0.5535352459504002,2026-07-23 20:39:52.967477,2026-07-23 20:39:54.869476,0 days 00:00:01.901999,0.7985668982740489,0.01690270127311711,8,290,3.2768541874690063,0.6349235645938275,COMPLETE
147,0.5484362281568399,2026-07-23 20:39:54.870326,2026-07-23 20:39:56.680064,0 days 00:00:01.809738,0.7971290392446982,0.016637495399882574,8,311,3.2086478582341393,0.632578327636189,COMPLETE
148,0.553007528757273,2026-07-23 20:39:56.680791,2026-07-23 20:39:58.660054,0 days 00:00:01.979263,0.7830667505984964,0.015810797565726408,8,286,3.881348332416417,0.6399732686303902,COMPLETE
149,0.5382756748077316,2026-07-23 20:39:58.660907,2026-07-23 20:40:00.988964,0 days 00:00:02.328057,0.802544602533694,0.018684604831576194,9,272,3.1400015245758413,0.6563745332263158,COMPLETE
150,0.5388639874440045,2026-07-23 20:40:00.989808,2026-07-23 20:40:03.284083,0 days 00:00:02.294275,0.7604828882675889,0.010751160874226848,8,322,3.0050246093755986,0.6316826453669666,COMPLETE
151,0.5532016071223881,2026-07-23 20:40:03.284905,2026-07-23 20:40:05.510310,0 days 00:00:02.225405,0.8099598069807509,0.017088078261906708,8,354,3.266905658367294,0.647558651816808,COMPLETE
152,0.5539679837444721,2026-07-23 20:40:05.511189,2026-07-23 20:40:07.856991,0 days 00:00:02.345802,0.7748553154804771,0.013523795996936705,8,299,3.314353153276482,0.6228396501959834,COMPLETE
153,0.5522166869400711,2026-07-23 20:40:07.857721,2026-07-23 20:40:10.303336,0 days 00:00:02.445615,0.7737961046226985,0.013563949437958588,8,290,3.3538208571336177,0.6254417161307144,COMPLETE
154,0.5436365081198201,2026-07-23 20:40:10.304114,2026-07-23 20:40:11.965112,0 days 00:00:01.660998,0.7895122861419224,0.020173213129448725,8,260,3.1862012859170563,0.6143884456110923,COMPLETE
155,0.5532368396379611,2026-07-23 20:40:11.965918,2026-07-23 20:40:14.267424,0 days 00:00:02.301506,0.7672794708317929,0.01455974343385276,8,297,3.288153537864601,0.6380946954507425,COMPLETE
156,0.552990692585477,2026-07-23 20:40:14.268226,2026-07-23 20:40:16.614137,0 days 00:00:02.345911,0.7783839578421223,0.012494544804065472,8,277,3.400613308834789,0.6612475098823036,COMPLETE
157,0.5475892976489173,2026-07-23 20:40:16.614996,2026-07-23 20:40:18.648965,0 days 00:00:02.033969,0.7925345294494665,0.016184842345585468,8,337,3.0711098521836733,0.603563548792271,COMPLETE
158,0.5515231949052201,2026-07-23 20:40:18.650248,2026-07-23 20:40:21.198593,0 days 00:00:02.548345,0.8041270550399547,0.015074943906657392,9,313,3.607004057221525,0.6218456400761163,COMPLETE
159,0.5530530620771195,2026-07-23 20:40:21.199499,2026-07-23 20:40:23.423332,0 days 00:00:02.223833,0.7711873616522215,0.013571472671552448,8,250,3.4730373787921978,0.6520864163389078,COMPLETE
160,0.5530831540286366,2026-07-23 20:40:23.424194,2026-07-23 20:40:25.056549,0 days 00:00:01.632355,0.8186936584984195,0.018479311631273174,7,269,3.2142041188035573,0.6296025907849114,COMPLETE
161,0.5543046010537017,2026-07-23 20:40:25.057427,2026-07-23 20:40:26.880231,0 days 00:00:01.822804,0.7831385885467551,0.017005401439667903,7,239,3.293077807338855,0.6456318495281872,COMPLETE
162,0.5543000391427818,2026-07-23 20:40:26.881762,2026-07-23 20:40:28.254705,0 days 00:00:01.372943,0.7853167205810877,0.017113846091215516,7,236,3.2887287065355735,0.643060101236908,COMPLETE
163,0.5525446229285471,2026-07-23 20:40:28.255416,2026-07-23 20:40:29.493644,0 days 00:00:01.238228,0.7878832792136393,0.016577779235209873,7,241,3.3232739579402173,0.6430076407257302,COMPLETE
164,0.5513788048731499,2026-07-23 20:40:29.494697,2026-07-23 20:40:30.798747,0 days 00:00:01.304050,0.7793272236397388,0.01716726925587816,7,260,3.3547592765485175,0.6583568515878593,COMPLETE
165,0.5530091151747208,2026-07-23 20:40:30.800044,2026-07-23 20:40:32.850601,0 days 00:00:02.050557,0.7602078173333743,0.015711175080335513,8,280,3.254253359573316,0.6353416160639844,COMPLETE
166,0.5518499271766354,2026-07-23 20:40:32.851346,2026-07-23 20:40:34.154178,0 days 00:00:01.302832,0.7951963908331025,0.021337321871526094,7,239,3.1404066204047174,0.6247135406791651,COMPLETE
167,0.5512217498316822,2026-07-23 20:40:34.154889,2026-07-23 20:40:35.926155,0 days 00:00:01.771266,0.8124402785016911,0.014101526866552212,8,251,3.4139232051677078,0.6444229779855635,COMPLETE
