# comentario unicamente para diferenciar los archivos: trials B de optuna

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
442,0.5533839426329631,2026-07-24 16:57:29.766034,2026-07-24 16:57:31.894739,0 days 00:00:02.128705,0.8268794147911904,0.013642963698838592,7,213,3.0796274443789287,0.6809036995484886,COMPLETE
443,0.5534013940694745,2026-07-24 16:57:31.895485,2026-07-24 16:57:33.903914,0 days 00:00:02.008429,0.8159188190922052,0.012354534592187924,7,225,3.2111227757710523,0.6679630434835115,COMPLETE
444,0.5543445385913234,2026-07-24 16:57:33.905206,2026-07-24 16:57:35.975453,0 days 00:00:02.070247,0.8352634390573954,0.01083518452972049,7,204,3.1557331816170446,0.6616679761703608,COMPLETE
445,0.5537582076490585,2026-07-24 16:57:35.976195,2026-07-24 16:57:38.008255,0 days 00:00:02.032060,0.8568026470422598,0.011105076597222485,7,186,3.1565965200699115,0.6841612914366996,COMPLETE
446,0.5538123432878802,2026-07-24 16:57:38.009063,2026-07-24 16:57:39.741087,0 days 00:00:01.732024,0.8468867096609219,0.010975290164835866,7,200,3.231836259391375,0.6651946215880273,COMPLETE
447,0.5534203912964508,2026-07-24 16:57:39.742275,2026-07-24 16:57:41.486372,0 days 00:00:01.744097,0.836488441948526,0.012227814533648006,7,192,3.08471842153764,0.6745088094607343,COMPLETE
448,0.48783371041914575,2026-07-24 16:57:41.487187,2026-07-24 16:57:42.430845,0 days 00:00:00.943658,0.9620821642097744,0.010791633649506367,7,205,2.9912867571795267,0.6603352916754802,COMPLETE
449,0.5539640128805657,2026-07-24 16:57:42.431578,2026-07-24 16:57:43.956556,0 days 00:00:01.524978,0.8424660382619593,0.011833568878107631,7,182,3.269921732374348,0.6590074051642966,COMPLETE
450,0.553845015525303,2026-07-24 16:57:43.957467,2026-07-24 16:57:45.270504,0 days 00:00:01.313037,0.8328658475226293,0.01493170435952831,6,210,3.1472166506022403,0.6707161402589198,COMPLETE
451,0.553999462475788,2026-07-24 16:57:45.271398,2026-07-24 16:57:47.003334,0 days 00:00:01.731936,0.8083377647426068,0.015824954840372826,7,201,3.2061611514340536,0.6568367511791899,COMPLETE
